"attr","type"
"attribute_1","categorical"
"attribute_2","categorical"
"attribute_3","numerical"
"attribute_4","categorical"
"attribute_5","numerical"
"attribute_6","categorical"
"attribute_7","categorical"
"attribute_8","numerical"
"attribute_9","numerical"
"attribute_10","categorical"
"attribute_11","categorical"
"attribute_12","categorical"
"attribute_13","categorical"
"attribute_14","categorical"
"attribute_15","categorical"
"attribute_16","categorical"
"attribute_17","categorical"
"attribute_18","categorical"
"attribute_19","categorical"
"attribute_20","categorical"
"attribute_21","categorical"
"attribute_22","categorical"
"attribute_23","categorical"
"attribute_24","numerical"
"attribute_25","categorical"
"attribute_26","categorical"
"attribute_27","categorical"
"attribute_28","categorical"
"attribute_29","categorical"
"attribute_30","categorical"
"attribute_31","categorical"
"attribute_63","categorical"
"attribute_64","categorical"
